NUTS_CODE,x,y
DE725,3519277.2576116263,5611410.924577597
DE731,3532163.8951960164,5686398.556448183
DE732,3553852.683590012,5603392.142102279
DE733,3553025.788059866,5641471.379555622
DE734,3528387.2708098595,5696344.732226731
DE735,3526273.763293815,5654340.846792565
DE736,3492283.093590195,5672826.601968863
DE737,3565036.033353475,5673263.535881701
DE803,3705419.3616080116,6006437.862850162
DE804,3659967.3272641464,5946060.53779507
DE80J,3765322.0822367375,5942112.122186058
DE80K,3711740.4272898287,5980475.868936827
DE80L,3759996.161938115,6024482.845215417
DE80M,3648351.369658668,5967965.559374473
DE80N,3815189.1228357246,5972565.335350068
DE80O,3668380.5327313407,5927279.652637875
DE911,3604103.6721056374,5794629.317806197
DE912,3593950.2054632944,5777633.077881967
DE913,3621531.4146951907,5810106.424025069
DE914,3608804.324046386,5828659.854349167
DE916,3596536.7651329082,5749871.671857123
DE917,3629038.573085885,5793579.380627767
DE918,3558636.315561246,5734607.454053043
DE91A,3585697.5815428863,5797491.026875341
DE91B,3608532.1692139506,5778222.40781594
DE91C,3575449.128881612,5714962.668522789
DE922,3479883.2021234347,5843971.04410037
DE923,3526790.901898576,5773551.248464833
DE925,3564731.1526281196,5773359.831687356
DE926,3538035.4671040373,5749748.850960545
DE927,3507782.5990507863,5830677.115689008
DE928,3514155.5165123683,5795492.15468195
DE929,3549041.9446025067,5810084.826571325
DE931,3574652.8312506913,5842835.498036607
DE932,3487632.6802841965,5942780.453702201
DE933,3564235.614777066,5909760.512879881
DE934,3642535.9160226756,5878499.161255253
DE935,3605112.855124115,5901238.485938063
DE936,3487263.102417906,5902131.872472422
DE937,3520593.2679427797,5902084.900219822
DE938,3551762.1521172007,5866450.034121022
DE939,3527787.139797204,5938691.846970872
DE93A,3604012.5252042725,5873468.594117582
DE93B,3511877.072734029,5871204.26654221
DE941,3476304.900248095,5879734.342356722
DE942,3378947.7357504796,5915905.715036149
DE943,3448170.1226880937,5890548.197148338
DE944,3435027.8849355774,5794225.824335754
DE945,3439617.7413748936,5937650.452771096
DE946,3434156.155859156,5898947.729737106
DE947,3391809.579973648,5930771.632755101
DE948,3426400.935194587,5864803.982093757
DE949,3392176.960641621,5846161.583076808
DE94A,3432596.9399173073,5931305.875141051
DE94B,3365564.326198389,5817702.094721529
DE94C,3398329.4593910407,5902194.588645717
DE94D,3459073.5810254104,5873020.208376024
DE94E,3435123.4123919914,5805741.313652585
DE94F,3447482.5828091134,5836623.6193351885
DE94G,3459475.546923689,5913898.161914803
DE94H,3414343.746413851,5939063.134960807
DEA11,3347140.9526138054,5680114.419356505
DEA12,3342570.7350319275,5702981.532362914
DEA13,3362189.5270534474,5701772.378666611
DEA14,3331448.275912947,5692832.597185177
DEA15,3319070.785333987,5673428.2974928925
DEA16,3352483.3224332463,5699811.789717753
DEA17,3350628.3031162866,5710929.89586086
DEA18,3375900.097041973,5673469.587104695
DEA19,3364799.271142907,5671496.115696804
DEA1A,3372234.1814829702,5681123.515030415
DEA1B,3310397.2215348464,5727739.9868442705
DEA1C,3358295.123431138,5682191.188049091
DEA1D,3335581.4807244404,5670238.604651702
DEA1E,3313524.6074898667,5686505.450878024
DEA1F,3335156.600925409,5724079.8785808515
DEA22,3366556.7501618178,5620617.505672741
DEA23,3357653.993545453,5647546.510935085
DEA24,3360926.2415877455,5659424.248122702
DEA26,3320084.14608672,5634481.855212997
DEA27,3339466.8144199434,5643558.754517043
DEA28,3333046.491403781,5602717.788929612
DEA29,3301219.0132976105,5660965.326096431
DEA2A,3395999.4897319293,5654091.807034887
DEA2B,3373428.5516717653,5655749.878402628
DEA2C,3375483.143737712,5626504.668302845
DEA2D,3303590.8213163083,5625083.940447536
DEA31,3355880.5192521187,5717295.599612083
DEA32,3366301.3319149786,5715032.660223879
DEA33,3405453.2533791824,5758709.687411541
DEA34,3355672.2669515023,5760656.991353434
DEA35,3387548.4415358654,5749338.628504669
DEA36,3372745.1538261655,5728060.846843585
DEA37,3402961.280326269,5787389.776862064
DEA38,3428343.6391878263,5748960.476499248
DEA41,3468543.5371055384,5764220.113651437
DEA42,3455473.3127841493,5755488.632108216
DEA43,3475714.8072287906,5781613.869961646
DEA44,3512384.9234765205,5727840.067284264
DEA45,3496698.248748673,5760830.616211112
DEA46,3482324.2057081386,5802158.181609722
DEA47,3480677.780774858,5725559.488610806
DEA51,3376737.6387915653,5705416.542516681
DEA52,3394209.483814146,5710160.721554759
DEA53,3395399.4740238837,5691434.868137393
DEA54,3418679.3823681213,5726307.707985275
DEA55,3375781.2082040017,5712968.259512773
DEA56,3383313.8489495167,5691557.204369837
DEA57,3457180.967540369,5685969.840041659
DEA58,3410228.981156143,5681626.016229685
